scientific_name,common_name,event_date,latitude,longitude,place_or_country,gbif_url
"Vulpes vulpes (Linnaeus, 1758)",,2025-01-02T10:30Z/2025-01-02T11:30Z,61.784346,23.459197,Pirkanmaa,https://www.gbif.org/occurrence/5000578224
"Vulpes vulpes (Linnaeus, 1758)",,2025-01-02T00:00Z,60.950106,21.443362,Varsinais-Suomi,https://www.gbif.org/occurrence/5000580189
"Vulpes vulpes (Linnaeus, 1758)",,2025-01-03T00:00Z,60.693813,21.713169,Varsinais-Suomi,https://www.gbif.org/occurrence/5003396313
"Vulpes vulpes (Linnaeus, 1758)",,2025-01-05T00:00Z,60.254709,24.852129,"Malminkartano, Pihkapuisto, ojan varsi.",https://www.gbif.org/occurrence/5003396408
"Vulpes vulpes (Linnaeus, 1758)",,2025-01-06T00:00Z,61.184279,21.629036,Raunela,https://www.gbif.org/occurrence/5003396409
"Vulpes vulpes (Linnaeus, 1758)",,2025-01-01,59.914271,10.976272,"Nesåsen, Lørenskog, Ak",https://www.gbif.org/occurrence/5003509478
"Vulpes vulpes (Linnaeus, 1758)",,2025-01-01,60.782995,11.175249,"Opphus, Hamar, In",https://www.gbif.org/occurrence/5003510484
"Vulpes vulpes (Linnaeus, 1758)",,2025-01-05,59.153678,10.244055,"Fossen, Unneberg, Sandefjord, Vf",https://www.gbif.org/occurrence/5003510791
"Vulpes vulpes (Linnaeus, 1758)",,2025-01-03,59.245109,10.429944,"Hjertnes, Færder, Vf",https://www.gbif.org/occurrence/5003512479
"Vulpes vulpes (Linnaeus, 1758)",,2025-01-04,68.10811,15.594879,"Kulkleiva, Hamarøy, No",https://www.gbif.org/occurrence/5003521515
"Vulpes vulpes (Linnaeus, 1758)",,2025-01-02,59.388195,10.350712,"Nyerrød, Nyerrød, Tønsberg, Vf",https://www.gbif.org/occurrence/5003523736
"Vulpes vulpes (Linnaeus, 1758)",,2025-01-04,59.889476,10.864468,"Østmarksetra sør, Ulsrudvannet, Oslo, Os",https://www.gbif.org/occurrence/5003527168
"Vulpes vulpes (Linnaeus, 1758)",,2025-01-02,69.719351,19.104651,"Grindhaugen, Movik, Tromsø, Tr",https://www.gbif.org/occurrence/5003534626
"Vulpes vulpes (Linnaeus, 1758)",,2025-01-01,62.952936,7.680182,"Stokkdalen, Gjemnes, Mr",https://www.gbif.org/occurrence/5003536246
"Vulpes vulpes (Linnaeus, 1758)",,2025-01-01,59.397928,10.438307,"Toen D, Borrevannet, Horten, Vf",https://www.gbif.org/occurrence/5003542246
"Vulpes vulpes (Linnaeus, 1758)",,2025-01-02,59.13536,10.392762,"Sandbekk, Færder, Vf",https://www.gbif.org/occurrence/5003543213
"Vulpes vulpes (Linnaeus, 1758)",,2025-01-06,70.123187,28.580341,"Karlebotn, Nesseby, Fi",https://www.gbif.org/occurrence/5003547158
"Vulpes vulpes (Linnaeus, 1758)",,2025-01-02,58.162773,8.101241,"Nedre Timenes, Kristiansand, Ag",https://www.gbif.org/occurrence/5003547823
"Vulpes vulpes (Linnaeus, 1758)",,2025-01-02,59.914866,11.000311,"Nybakk, Lørenskog, Ak",https://www.gbif.org/occurrence/5003560064
